Cust No.,Item No.,Description,Description,UPC 2 - Box,U/M,Packed,Retail Pack,Price,Retail,UPC 1 - Each,UPC 2 - Box,UPC 3 - Case,Each Price,Description,Unit Retail
910992,102681,CAMEL ROYAL JADE BOX KS,R.J. REYNOLDS,12300844284.00,CTN,00010 PAK,10/CT,86.83,9.64,12300844277.00,12300844284.00,12300844291.00,8.68,CIGARETTES,96.4
910992,102707,NEWPORT BOX 100,R.J. REYNOLDS,26100805734.00,CTN,00010 PAK,10/CT,91.96,10.22,26100005738.00,26100805734.00,10026100015109.00,9.2,CIGARETTES,102.2
910992,102715,CAPRI MAGENTA BOX 100,R.J. REYNOLDS,27200207008.00,CTN,00010 PAK,10/CT,122.51,13.61,27200002382.00,27200207008.00,27200207015.00,12.25,CIGARETTES,136.1
910992,102723,CAPRI MENTHOL INDIGO BOX 100,R.J. REYNOLDS,27200207022.00,CTN,00010 PAK,10/CT,122.51,13.61,27200002399.00,27200207022.00,27200207039.00,12.25,CIGARETTES,136.1
910992,102806,MARLBORO 72 MENTH BLACK BOX,PHILIP MORRIS,28200193506.00,CTN,00010 PAK,10/CT,86.21,9.58,28200009357.00,28200193506.00,28200093561.00,8.62,CIGARETTES,95.8
910992,102822,CARLTON MENTHOL BOX 100,R.J. REYNOLDS,43300020583.00,CTN,00010 PAK,10/CT,122.51,13.61,43300000363.00,43300020583.00,43300330514.00,12.25,CIGARETTES,136.1
910992,102848,VA SLIMS MEN SILVER BOX 100,PHILIP MORRIS,28200174406.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007445.00,28200174406.00,28200074461.00,9.71,CIGARETTES,107.9
910992,102855,VA SLIMS SILVER BOX 100,PHILIP MORRIS,28200174307.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007438.00,28200174307.00,28200074362.00,9.71,CIGARETTES,107.9
910992,102921,MARLBORO MENTH GOLD BOX KS,PHILIP MORRIS,28200140104.00,CTN,00010 PAK,10/CT,86.21,9.58,28200004017.00,28200140104.00,28200040107.00,8.62,CIGARETTES,95.8
910992,102939,MARLBORO MEN GOLD BOX 100,PHILIP MORRIS,28200147103.00,CTN,00010 PAK,10/CT,86.21,9.58,28200004710.00,28200147103.00,28200047106.00,8.62,CIGARETTES,95.8
910992,102970,NEWPORT MN PLATNM BLUE BX KS,R.J. REYNOLDS,26100016291.00,CTN,00010 PAK,10/CT,91.96,10.22,26100016284.00,26100016291.00,26100016307.00,9.2,CIGARETTES,102.2
910992,102988,NEWPORT MN PLATNM BLUE BX100,R.J. REYNOLDS,26100016239.00,CTN,00010 PAK,10/CT,91.96,10.22,26100016222.00,26100016239.00,26100016246.00,9.2,CIGARETTES,102.2
910992,103002,CAMEL FILTER BOX KING,R.J. REYNOLDS,12300103138.00,CTN,00010 PAK,10/CT,86.83,9.64,12300000031.00,12300103138.00,12300305921.00,8.68,CIGARETTES,96.4
910992,103085,USA GOLD MENTHOL BOX KING,VALUE BRANDS: ITG,90600301126.00,CTN,00010 PAK,10/CT,88.3,9.81,90600000128.00,90600301126.00,90600312122.00,8.83,CIGARETTES,98.1
910992,103093,USA GOLD MENTHOL GOLD BOX 100,VALUE BRANDS: ITG,90600301324.00,CTN,00010 PAK,10/CT,88.3,9.81,90600000326.00,90600301324.00,90600312320.00,8.83,CIGARETTES,98.1
910992,103101,USA GOLD MENTHOL BOX 100,VALUE BRANDS: ITG,90600301140.00,CTN,00010 PAK,10/CT,88.3,9.81,90600000142.00,90600301140.00,90600312146.00,8.83,CIGARETTES,98.1
910992,103176,VA SLIM SUPERSLIM MEN BX 100,PHILIP MORRIS,28200177803.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007780.00,28200177803.00,28200077844.00,9.71,CIGARETTES,107.9
910992,103184,VA SLIM SUPERSLIM BOX 100,PHILIP MORRIS,28200177506.00,CTN,00010 PAK,10/CT,97.12,10.79,28200007759.00,28200177506.00,28200077547.00,9.71,CIGARETTES,107.9
